X,Y,FID,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,CITY_NAME2,POP_updated,POP_updated_year,POP_SOURCE_updated,comments
-6334189.975,-3967735.347,143,143,Trinidad,URY-FLR,Flores,UY,Uruguay,Provincial capital,0,0, ,0,0, ,Trinidad,21429,2011,citypopulation.de,
-5190048.239,-2702433.5,144,144,Sao Paulo,BRA-SPA,Sao Paulo,BR,Brazil,Provincial capital,11152968,1,"5,000,000 and greater",0,1,UN_Data_2010_2020,Sao Paulo,11451999,2022,citypopulation.de,
-5155148.913,-2747888.714,145,145,Santos,BRA-SPA,Sao Paulo,BR,Brazil,Other,419086,4,"250,000 to 499,999",12970,0,UN_Data_2010_2020,Santos,433670,2021,citypopulation.de,
-5486380.955,-2928654.063,146,146,Curitiba,BRA-PAN,Parana,BR,Brazil,Provincial capital,1751907,2,"1,000,000 to 4,999,999",0,0,UN_Data_2010_2020,Curitiba,1963730,2021,citypopulation.de,
-5412242.166,-3195621.489,147,147,Florianopolis,BRA-SCT,Santa Catarina,BR,Brazil,Provincial capital,405189,4,"250,000 to 499,999",13030,0,UN_Data_2010_2020,Florianopolis,1183874,2022,citypopulation.de,
-5700448.672,-3508692.759,148,148,Porto Alegre,BRA-RGS,Rio Grande do Sul,BR,Brazil,Provincial capital,1409351,2,"1,000,000 to 4,999,999",13080,0,UN_Data_2010_2020,Porto Alegre,3679298,2022,citypopulation.de,
-6181464.088,-3618135.292,149,149,Rivera,URY-RIV,Rivera,UY,Uruguay,Provincial capital,0,0, ,0,1, ,Rivera,103493,2011,citypopulation.de,
-6231998.674,-3724649.55,150,150,Tacuarembo,URY-TCR,Tacuarembo,UY,Uruguay,Provincial capital,0,0, ,0,1, ,Tacuarembo,90053,2011,citypopulation.de,
-6030956.342,-3811055.038,151,151,Melo,URY-CLA,Cerro Largo,UY,Uruguay,Provincial capital,0,0, ,0,0, ,Melo,,,,
-6052997.605,-3926005.249,152,152,Treinta Y Tres,URY-TYT,Treinta y Tres,UY,Uruguay,Provincial capital,0,0, ,0,0, ,Treinta Y Tres,48134,2011,citypopulation.de,
-6257825.015,-4042103.339,153,153,Florida,URY-FLD,Florida,UY,Uruguay,Provincial capital,0,0, ,0,1, ,Florida,67048,2011,citypopulation.de,
-6147841.137,-4079266.661,154,154,Minas,URY-LVL,Lavalleja,UY,Uruguay,Provincial capital,0,0, ,0,0, ,Minas,,,,
-6047542.393,-4095733.819,155,155,Rocha,URY-ROC,Rocha,UY,Uruguay,Provincial capital,0,0, ,0,1, ,Rocha,68088,2011,citypopulation.de,
-6116783,-4152064.188,156,156,Maldonado,URY-MLD,Maldonado,UY,Uruguay,Provincial capital,0,0, ,0,1, ,Maldonado,164300,2011,citypopulation.de,
-6252815.641,-4153014.778,157,157,Montevideo,URY-MNT,Montevideo,UY,Uruguay,National and provincial capital,1383135,2,"1,000,000 to 4,999,999",13120,1,UN_Data_2010_2020,Montevideo,1319108,2011,citypopulation.de,
-4283685.619,-1458932.893,158,158,Salvador,BRA-BAH,Bahia,BR,Brazil,Provincial capital,2674923,2,"1,000,000 to 4,999,999",12770,0,UN_Data_2010_2020,Salvador,2899520,2011,citypopulation.de,
-635077.769,-1795691.581,159,159,Jamestown,SHN,St. Helena,SH,St. Helena,National and provincial capital,0,0, ,46690,0, ,Jamestown,625,2021,citypopulation.de,
